trial_nr,dataset,model,optimizer,seed,val_auroc,val_accuracy,train_time,config
104,bank_marketing,mlp,acrs,42,0.9121416047854785,0.9148230088495575,1.1877541542053223,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 128, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
105,bank_marketing,mlp,acrs,42,0.9072297854785478,0.9037610619469026,2.3080766201019287,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 32, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
106,bank_marketing,mlp,acrs,42,0.9191290222772277,0.9126106194690266,1.5982749462127686,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 64, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
107,bank_marketing,mlp,acrs,42,0.919567347359736,0.9170353982300885,2.6887521743774414,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.1329349807297598, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
108,bank_marketing,mlp,acrs,42,0.9087510313531353,0.911504424778761,3.8359196186065674,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.48458818867386194, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
109,bank_marketing,mlp,acrs,42,0.9174530734323433,0.9214601769911505,2.9182662963867188,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3893754519828973, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
110,bank_marketing,mlp,acrs,42,0.9157642326732673,0.918141592920354,3.3932723999023438,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3584450945794978, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
111,bank_marketing,mlp,acrs,42,0.9159318275577558,0.915929203539823,2.905003547668457,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.22468075107189434, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
112,bank_marketing,mlp,acrs,42,0.9152485561056105,0.9092920353982301,3.171865224838257,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 197, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
113,bank_marketing,mlp,acrs,42,0.912644389438944,0.9148230088495575,3.836684226989746,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 93, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
